系統	玩家路徑	原版入口	IDA 位址	原版證據	Go 消費端	remake 狀態	原版對齊狀態	下一個證據閘門
地面戰	入侵與登艦	Ground_Combat_Round_ / Resolve_Ground_Combat_	0xEC4FE / 0xEC601	兩次亂數擲骰與強度比較、依兵種的傷亡游標與兵力寫回	internal/gamedata ResolveGroundCombatOrig	部分有證據	僅強推論	解出 record layout、兵種、caller setup、人口與裝甲寫回
登艦戰加成	快速結算與格子戰術登艦	Boarding_Action_Type_ / Crew_Boarding_Combat_Bonus_ / Get_Fleet_Commando_Bonus_ / Get_Fleet_Security_Bonus_	0x2C129 / 0x35CAD / 0x35FDA / 0x360AA	攻守雙方各取艦員 Bo 與同 owner 有效參戰艦軍官最高 Commando；守方另取最高 Security 與保安站每個 +20；boarding info 分別攜帶兩方 owner/player	internal/shell combatant、CombatShip、quickBoardingAttempt、ShipBoardingAttack；internal/gamedata ShipCrewBoardingBonus	快速與格子戰術均接玩家／AI 各自種族、科技、耐受、艦員與艦隊技能	已證實對齊（可表示加成鏈）	Get_Boarding_Info_ 下游 raw 0x37-byte 欄位仍未逐欄命名；見 boarding-combat-bonuses-audit-20260825.md
戰略轟炸	軌道轟炸	Strategic_Bombardment_ / sub_4267B / sub_DD2F2 / sub_DCEBD	0x4257E / 0x4267B / 0xDD2F2 / 0xDCEBD	固定三外圈；>30000 提前停；/40 寫結果 +3；一般建築、陸戰隊、戰車、建造進度與人口共用隨機傷亡池	internal/shell fleetBombardDamage／BombardColony；gamedata StrategicBombardmentHitsFromDamage／ResolveStrategicColonyDamage	三外圈、停止門檻、炸彈 5／10 當量、runtime /40 與殖民地內部傷亡回寫已接	部分對齊	剩餘逐武器數量、快速戰鬥 record，以及 helper 排除的八類獨立防禦戰鬥者摧毀鏈；見 strategic-bombardment-audit-20260824.md、strategic-colony-casualties-audit-20260824.md
戰機炸彈	戰機攻擊	Fire_Fighter_Bomb_	0x3AC20	武器表最小／最大插值、目標傷害消費與戰機彈藥回寫	internal/shell ResolveFighterBomb	已實作部分公式	僅強推論	解出 runtime 參數、目標選擇、裝甲／護盾與返回生命週期
戰機光束	戰機攻擊	Fire_Fighter_Beam_	0x3AD57	OCV、DCV、亂數命中桶、插值、飛彈或戰機傷害與重新選目標／擊殺	internal/shell ResolveFighterAttack	已實作部分公式	僅強推論	解出所有 runtime 參數、raw flags、PD、目標與下游狀態
戰機駐防	行星防禦	Fighter_Garrison_Strength_	0x5F64C	玩家科技旗標與武器表共同形成混合強度，上限 64000	fighterGarrisonTierFor、FighterGarrisonCombatContribution	可玩近似	已證實模型不同	解出科技分支、武器 ID、數量與戰略消費端
殖民地防禦耐久	快速戰鬥殖民地	Get_Colony_Hits_	0x42371	人口 + 士兵 + 戰車 + 40×非軌道建築；排除 raw 8/40/41；回傳寫快速戰鬥 record +1D	gamedata OriginalColonyCombatHits；shell BombardColony PlanetHitsRequired	欄位、排除 ID、公式與 shell 顯示消費端已接	公式已對齊	傷亡分配已由相鄰戰略轟炸列的 sub_DCEBD 閉合；本列剩餘快速戰鬥 record 消費；見 colony-hits-audit-20260824.md
研究產出與突破	殖民地研究、application 選擇、完成科技	Colony_Research_Production_ / Player_Gets_Tech_App_ / Check_For_Research_Breakthrough_	0xDFF74 / 0xE4204 / 0xE44E0	研究人口由 mode 2 dispatch 結算；四棟研究建築固定加 5／10／15／30；玩家與 AI 在投入 RP 前寫 field/application；Creative 全授予、Uncreative 預先限縮；突破成功後授予既選 application 並清零；Battleoids 遞迴授予 Armor Barracks，其餘特殊分支重算原版 raw 衍生快取	internal/shell preparePlayerResearchApplication／prepareAIResearchApplication／applyResearchTopicGrantCallbacks／playerStateKnowsTech；internal/engine SelectResearchApplication／RunResearchPhaseWithRoller；cmd/moo2 researchChoice	研究建築固定值、application 時序、種族分支、突破公式、額外授予與存檔已接；原版 raw cache 由動態消費端取代	部分閉合	閉合其餘人口、忠誠、士氣、領袖與事件產出修正
帝國維護費	回合經濟結算	Compute_Player_Maintenance_ / Player_Maintenance_	0xE2000 / 0xEE0B0	六分項、完整拆船 pass、友軍星四分之一退款、三輪建築出售、間諜裁撤與領袖解雇已由 IDA 證實；player+0x59D 為 AI 晚期科技旗標	internal/shell prepPlayerDerived、resolvePlayerBankruptcy；internal/engine RunEmpireTurn	已接正常玩家／熱座、摘要與測試；戰鬥艦最低效能候選使用 remake 戰力近似	部分閉合	若重建完整 AI 經濟，再接 sub_ED908 四棟研究設施清理；逐對手 sub_5EF17 分數非玩家阻塞
殖民地完整回合	結束回合後殖民地變更	Do_Colony_Calculations_ / Apply_All_Colony_Changes_	0xE2B31 / 0xE3FDC	Next_Turn_Calc_ 先後兩次計算殖民地並套用全部變更	engine RunEmpireTurn、shell advanceBuilds／Population／Assimilation	可玩近似	未知	依原版 call graph 拆解食物、工業、污染、建造、人口、同化、士氣與事件的順序及回寫
隨機事件抽選	每回合 GNN 事件	Setup_Next_Event_ / Determine_Event_ / sub_23DFE / sub_E2710 / sub_24511 / sub_245C4 / sub_22D57 / sub_233FA / sub_E4410 / sub_23CED / sub_941C6 / sub_A163A / sub_23B7D / Change_Relations_	0x201A4 / 0x2230A / 0x23DFE / 0xE2710 / 0x24511 / 0x245C4 / 0x22D57 / 0x233FA / 0xE4410 / 0x23CED / 0x941C6 / 0xA163A / 0x23B7D / 0x4E3B5	前五次保護、五級 delta 門檻、Random(512)、最多五個 0..28 候選、Tutor 好事件限制、七項最早日期、Lucky 全槽掃描／壞候選取消、總人口極值排除與差平方權重已證實；sub_E2710 另證實事件殖民地 RP 分流；事件 9 全局 record、第五年齡後 1/20、age>20 強制解除、航行凍結及跨維度例外已證實；事件 18 保存目前 field、立即完成 application／Creative／Hyper field，再清空 RP 與 field 已證實；事件 8 以 reservoir sampling 選 active 艦艇、死亡軍官與單艦移除已證實；事件 13 的 record 寫入未初始化區域變數且 consumer 無效果／無 owner 回寫已證實；事件 4／5 先抽接觸帝國再驗戰爭狀態、raw -100／+100、政體／Charismatic 修正與戰爭 -25 上限已證實；事件 27 保存 reservoir 抽中的 active 艦索引，第五年齡後 1/20、age>20 強制解除，consumer 與完整艦隊移動函式均無停航回寫	internal/shell advanceEvents／events_target.go／events_diplomatic_incidents.go；internal/gamedata OriginalEventScheduleThreshold／OriginalEventMinimumTurn／OriginalLuckyEventDivisor／OriginalEventVictimWeights／OriginalDiplomaticIncidentRelation；events_persistent.go／events_hyperspace_flux.go／events_secret_experiment.go／events_ship_explosion.go	固定 30%、事件 18 的 80+Turn RP、事件 8 的戰鬥引擎連鎖傷害／保留最後一艘、事件 13 的自創艦艇移交、事件 4／5 的自訂 ±12 及事件 27 的自創 ETA 凍結假設均已排除；全局排程不隨熱座席位重複，Lucky 真人／AI 計數器可存檔；事件 9 航程、事件 18 科技完成、事件 8 玩家／熱座／AI 單艦與軍官死亡已接；事件 13 玩家／熱座／AI 僅播報；事件 4／5 玩家／AI及 AI／AI 關係已接；事件 27 玩家／熱座／AI 報告型 record 已接；未實作 ID 仍消耗候選	排程、Lucky、全局目標、事件 4／5、事件 8、事件 9、事件 13（1.31）、事件 18 與事件 27（1.31）已閉合；raw type 2／6、兩設定 UI、其餘 record、AI 殖民地／艦隊／外交與多個效果未解；熱座真人彼此外交矩陣、事件 4／5、13、27 的 1.50 二進位及 1.31／1.50 彗星／怪獸亂流衝突待 profile	追出 raw type 對映、持續 record、設定分離、RNG、版本衝突與其餘 AI 複合效果回寫
間諜回合解算	STEAL／SABOTAGE／HIDE	Resolve_Spies_ / Compute_Spy_Bonuses_	0x10192B / 0x100A83	兩張帝國攻防表由五科技、諜報特性、心靈感應、最佳領袖與政府表填值；packed relationship 人數另走 sub_101483	internal/shell advanceEspionage、calculateSpyMissionScore；internal/gamedata OriginalSpyEmpireBonuses	兩表與 slot 分層已對齊；訓練 30 BC、維護 1 BC 與 AI 任務政策仍為 remake 模型	上游分數已證實，外圈模型未閉合	追回原版訓練／維護、AI 任務與防守 Agent 政策及任務按鈕精確語意
艦隊星際移動	派遣艦隊、逐回合抵達	Move_All_Ships_Toward_Stars_	0xFFEEA	原版回合主鏈直接推進所有船向目的星移動	internal/shell FleetETATo、advanceFleet、route.go	可玩近似，只有 ETA 且航行中無位置	已證實資料模型不同	解出座標更新、速度、截擊、合併／拆分、星雲／黑洞／干擾器與抵達時序
殖民	殖民船建立殖民地	Colonize_Planet_	0xBB082	原版具名殖民入口與行星／殖民地 record 寫回	internal/shell ColonizePlanet、newColonyFromPlanet	可玩，部分規則由手冊與存檔錨定	未知	解出原版前置條件、起始人口與職務、建築、特殊物產、種族／政府欄位及殖民船消耗
封鎖與接觸	艦隊抵達敵方星系、首次接觸	Compute_Blockades_ / Compute_Contacts_	0xE5097 / 0xEB192	兩者皆為原版回合主鏈直接子系統	internal/shell 戰爭／外交與星圖探索的分散判定	部分可玩	未知	解出封鎖判定、產出影響、接觸建立、同星系多帝國及外交訊息回寫
叛亂	未同化人口回合檢定	Check_All_Rebellions_	0xED44A	原版回合主鏈直接檢查全部殖民地叛亂	internal/shell advanceRebellions、gamedata RebellionChancePerUnit	可玩近似	未知	解出兵力、政府、士氣、未同化人口、RNG、殖民地易手與帝國消滅回寫
領袖回合鏈	升級、旅行 ETA、玩家／AI 隨機招募與任命	Check_For_Officer_Level_ / Decrement_Officer_ETA_ / Random_Officer_Check_ / Do_AI_Leaders_	0x92FDA / 0x934CF / 0x97A66 / 0xD7439	經驗門檻、ETA raw 狀態、逐回合招募機率、Famous／種族修正、候選前綴、兩類四席、AI 技能 gate、50 BC reserve、拒絕 limbo 與任命 dispatch 已由靜態資料流閉合	internal/shell crew／leader_tenure／advanceMercOffers／officerRecruitChance／ai_leaders	玩家與 AI 招募、付費、cooldown、typed 任命及可存檔亂數流已接；raw 艦艇／殖民地排序與 ETA callback 為標註近似	部分對齊	追 ETA 完整 callback 與 raw 任命評分欄位的一對一映射；不宣稱原版 PRNG 位元一致
艦船經驗與維修	回合／戰後升級、停泊修復	Do_All_Ships_XP_Check_ / sub_4B184 / Repair_Ships_At_Colonies_ / Repair_Ship_Full_	0x14A27 / 0x4B184 / 0x580F5 / 0x581F3	每回合 XP 為 +1、同星系每座己方學院 +1、最強 Instructor 並封頂 500；戰後每艘 winner-side linked Ship 得 max(1,floor(被摧毀敵艦 1-based hull class 總和/2))，不套 500 cap；修復僅一般玩家 COMBAT_SHIP、Status=0、合法 Star 且 star+0x38 owner bit 成立者	internal/shell advanceCrewExperience、awardBattleCrewXP、ApplyCombatOutcome、advanceShipRepair；internal/gamedata CrewXPAfterTurnGain、CrewBattleXPFromDestroyedHullClassSum	每回合與戰後 XP 已接快速／戰術路徑；修復篩選已接；聚合 Damage 無逐系統損傷模型	XP consumer 與可表示修復已對齊；battle raw enum、AI 逐艦與逐系統損傷受模型限制	追 battle record +0x24/+0x4B enum、star+0x38 前哨站寫入端；逐系統損傷另列資料模型缺口；見 ship-battle-crew-xp-audit-20260824.md、ship-crew-xp-audit-20260824.md、ship-repair-audit-20260824.md
安塔蘭週期入侵	回合中安塔蘭攻擊	Antaran_Invasion_Check_ / sub_645EC / sub_63FF0 / sub_63EDD / sub_22F5C / sub_643A0	0x63D92 / 0x645EC / 0x63FF0 / 0x63EDD / 0x22F5C / 0x643A0	科技等級 200/100/0 延遲、25 回合 pulse、難度 100/150/200%、攻守資源、成本與上限、readiness、Random(200)、Lucky /3 帝國權重、殖民星均勻抽樣及最多五艘部署已由原始指令閉合	internal/gamedata antaran_invasion.go；internal/shell AntaranInvasionState／advanceAntares／AntaranRaidFleet	全局一次、資源建艦、可存檔 pending ETA、玩家／熱座／AI 目標、快速戰鬥與攻方倖存艦 pool 回寫已接；舊 20／15 母星 BC／人口腳本已移除	部分對齊	追回 owner 8 逐座標航行、完整快速／戰術 battle record、殖民地固定防禦與戰後消費；現行三回合 ETA 與艦級 combatant 是明示近似；見 antaran-periodic-invasion-audit-20260825.md
貿易與研究協議	每回合條約收益	sub_101E77；相鄰 sub_101EE3/sub_101F82 為建立貿易／研究協議	0x101E77 / 0x101EE3 / 0x101F82	雙向 current 初始為 -min(base)/2；每回合加 goal/5，餘數以 Random(5) 補點；達標封頂、目標下降立即下修；高槽 AI 方向先於玩家方向且每方向 trade-before-research	internal/shell advanceTreaties／advanceAgreementValue／agreementRandForTurn	玩家↔AI 雙向收益、經濟 consumer、JSON 亂數位置已接	可表示逐回合規則已對齊；獨立 PRNG 非原版逐位元；AI 政體仍固定 Dictatorship	追 AI↔AI 原版協議矩陣、正式終止／關係回寫與 AI 政體升級；見 trade-research-agreement-turn-audit-20260825.md
原版 AI 回合	AI 經濟、移動、殖民、科技、戰鬥	Compute_AI_Data_ / Move_All_AI_ / All_AI_Colonize_ / All_AI_Tech_Select_ / Search_For_Battles_	0xD3D34 / 0xDBB29 / 0xE67F6 / 0xDCA69 / 0xE9D62	原版 Next_Turn_Calc_ 依固定順序建立 AI 資料、執行殖民／移動／科技並搜尋戰鬥；常態科技由 sub_DC288 呼叫 sub_FD335 一次選 application 再反查 field	internal/ai、internal/shell advanceAI／advanceAIFleets／advanceAIRaids／selectOriginalAIResearch	常態研究已保存 raw profile 並接 application 級抽選；經濟、移動、殖民、建造、外交與戰鬥多數仍是設計性重建	部分對齊	依其餘四條入口與 Compute_AI_Data 未表示欄位重建殖民地配置、建造、艦隊目標、外交與戰鬥決策；常態研究的全域 PRNG、Uncreative status 表與 AI data 逐欄仍待
歷史與分數	INFO 歷史圖、最終分數	Record_History_ / score orchestrator / sub_58F4A	0x10208A / 0x9D977 / 0x58F4A	歷史為 Fleet／Technology／Population／Buildings 四項 350-byte ring，>250 時提高 divisor 並重縮放；八項分數、剩餘 Picks 倍率與 +50/100 已閉合	internal/shell recordHistory、FinalScore；internal/gamedata ComputeScore	最終分數倍率與四項 350 ring／divisor／舊存檔遷移已接；科技 raw +0x224 以完成主題成本強推論重建	分數與歷史資料形狀已接，科技 raw 寫入鏈仍未閉合	保存逐玩家殲滅歸屬；追查科技 +0x224 寫入端；見 history-score-audit-20260825.md 與 history-ring.md
客製種族效果	新局選種族後全局玩法	Convert_Custom_Race_Flags_ / sub_E3456	0x5BC24 / 0xE3456	集中轉換旗標；同化八政體 rate、240 門檻、Charismatic 倍增與 Repulsive 減半已閉合	internal/shell race_boolean_traits、assimilation；internal/gamedata race_traits、assimilation	22 項有 remake 消費端；同化 raw 餘數、UI ETA、舊存檔遷移已接	其餘能力仍未逐一窮盡所有原版 consumer；packed colonist 順序近似	逐能力追經濟、外交、間諜、戰鬥、星圖、事件與 AI 消費端；見 assimilation-race-traits-audit-20260825.md
艦艇設計成本與空間	設計武器、自動設計與 AI 生產	Weapon_Cost_ / Weapon_Space_ / Player_Research_Cost_ / Auto_Design_Ship_ / Update_Player_Ship_Designs_ / Colony_Building_Score_	0x6EC74 / 0x6EE8E / 0xE1E96 / 0x616A5 / 0x57112 / 0xD0036	成本／三種佔格微型化階梯、Hyper 重複等級與 level×10000 成本、兩階段改造、門檻與 2/5/10/15/20 彈架已由 IDA 閉合；Auto Design 的 caller、99-byte 六艦體庫、八 role 與武器／特殊 helper 已閉合；真人科技更新分支只換六筆最佳裝甲／引擎／速度／造價並保留武器／特殊；AI 初始 hull 0..5／role 0..5 與科技更新 hull 0..4 已閉合；AI 建造已證實逐殖民地產品，raw 1..48 gate、難度濾門、加權抽選及 building 4／6／7／10／12／15／16／17／19／20／30／31／34／35／36／44 的完整精確分數已閉合，其餘分數區域與艦艇產品仍待	internal/shell session-aware weapon/special miniaturization、HyperAdvancedLevels／repeated cost、weapon mods、weapon ammo racks、AutoDesignShip、ShipBlueprint／ShipDesigns、BlueprintDesignCost／SpaceUsed、CmdBuildShipDesign、UpdatePlayerShipDesignsAfterTech、AIOpponent.ShipDesigns／Ships／ColonyBuilds、advanceAIColonyBuilds／advanceAIShipProduction、Ship.WeaponMounts／SpecialIDs／Specials、battleMountVolley、CombatShip.WeaponMounts／Bays／fireMultiMountActors、CombatShip.WeaponModes／PointDefenseSpentSlots、AvailableTacticalPointDefenseMounts、shipHasSpecial；cmd/moo2 多槽 UI／戰術逐槽三態面板	一般玩家微型化、Hyper 重複研究／成本／存檔、改造門檻、彈架與兩條戰鬥消耗已接；六艦體可獨立編輯、建造、存檔及熱座／TCP 往返；科技入口同步六筆裝甲且保留其餘設計；玩家可編輯八武器槽、八特殊槽與 1..99 武器數量，逐槽成本／空間／typed mods／射界／彈架、特殊效果、完整命令重播、快速與格子戰術消費均已接；多種機庫各自出擊；未知 raw 裝備 fail-closed；戰術逐武器槽可用／待命／關閉、狀態色與右鍵資訊已接；逐槽紅色點防的飛彈／戰機自動迎擊已接；一般 AI 保存六筆藍圖與實艦、逐殖民地建築／Gaia／Terraforming 一次性產品，科技完成更新 0..4，建造、快速／格子戰術、戰損及快照均消費 typed 資料	部分已證實	接 raw mods、戰略模式、其餘建築分數區域與原版精確 AI 艦艇產品；未完工 ship record 目前是交付時計算近似
事件怪獸入侵 19–23	GNN 怪獸入侵受害帝國殖民星	Determine_Event_ / sub_23BEC / sub_206A2 / sub_A16BF / sub_A1762 / sub_A1A23 / sub_FF799 / sub_EBE79 / sub_EBB0C / sub_FFDDA / sub_DB8D8 / Search_For_Battles_ / sub_E8029 / Do_1_Combat_ / sub_E87D2 / sub_4267B / Strategic_Bombardment_ / sub_DD2F2 / sub_56726 / Load_Combat_Ship_ / sub_58387 / sub_58425 / sub_2B9E3 / sub_39434 / sub_3A82F / sub_ADE18 / sub_ACF83 / sub_4A5CE / sub_39985	0x2230A / 0x23BEC / 0x206A2 / 0xA16BF / 0xA1762 / 0xA1A23 / 0xFF799 / 0xEBE79 / 0xEBB0C / 0xFFDDA / 0xDB8D8 / 0xE9D62 / 0xE8029 / 0xE938C / 0xE87D2 / 0x4267B / 0x4257E / 0xDD2F2 / 0x56726 / 0x4954A / 0x58387 / 0x58425 / 0x2B9E3 / 0x39434 / 0x3A82F / 0xADE18 / 0xACF83 / 0x4A5CE / 0x39985	最早回合、目標抽樣、航行、五種精確藍圖、結構／裝甲雙池、raw 0x0002 HV 與 0x0004 PD、Plasma Flux 96px 半徑、距離平方衰減、友軍傷害與尺寸分段、Caustic Slime 堆疊／四面 tick／每回合減 5、owner/type 同星獨立 side、一般 Do_1_Combat_ 入口、type 13 不攻擊、其餘怪物防禦戰、同星同 type 三輪轟炸、/40、殖民地傷亡／移除及太空鰻分裂已閉合	internal/shell StartMonsterCombat／ApplyMonsterTacticalOutcome／MonsterGroupsAtStar／PlasmaFluxInRange／PlasmaFluxAttenuatedDamage／PlasmaFluxSizeDamage／PlasmaFluxFighterCasualties／TickCausticSlime／eventMonsterTransitETA／advanceEventMonsterRoutes／resolveEventMonsterColonyAttack／monsterStrategicBombardHits／advanceSpaceEelSplits／AttackMonster；internal/gamedata MonsterBlueprint／MonsterWeaponDamageRange／ResolveStrategicColonyDamage	玩家正常星系按鈕已進格子戰術；逐體精確雙血池／武器槽與戰後聚合回寫、同星多群組防覆蓋／防誤刪、鎖步重播、玩家／熱座／AI 事件目標、航行、特殊武器、快速反擊、固定防禦、三輪轟炸、殖民地完整回寫及太空鰻分裂已接	部分對齊	出生邊界仍為銀河矩形近似；途中逐座標截擊、Plasma Flux 對在途飛彈的擴散與 sprite 逐像素對照仍待；Plasma Flux 艦艇擴散已依 96px 半徑、距離平方衰減、友軍傷害、尺寸分段及戰機中隊 50% 迴避／逐架傷亡接線；Dragon raw 0x4000 已閉合為 OVR 並接 ID 40 每格 -15；同星 side 選擇使用穩定順序而非原版 reservoir RNG，快速 Caustic Slime、反擊選目標、戰術 AI 與部分固定防禦數值明標近似
事件 24 超新星	全銀河殖民星的研究搶救與爆發	Determine_Event_ / sub_23A5F / sub_23B64 / sub_206A2 / sub_E2A70 / sub_DCDAC	0x2230A / 0x23A5F / 0x23B64 / 0x206A2 / 0xE2A70 / 0xDCDAC	全銀河星系最多1000次 rejection sampling、同星互斥、Random(5)+10-difficulty 倒數、system RP×倒數需求、逐回合全殖民槽 RP 扣減、成功／爆發全 owner 摧毀鏈已證實	internal/gamedata OriginalSupernovaCountdown／OriginalSupernovaResearchNeed；internal/shell startSupernova／stepSupernova／destroyColoniesAtStar	玩家／熱座／AI 目標、RP 轉用、存檔、全 owner 殖民地與殖民行星失敗回寫已接；×(倒數+1)、均勻6–14與玩家限定已移除	1.31 主要鏈已對齊	colony+0x13F 語意、1.50 倒數版本差與 raw GNN 狀態精確時序待閉合；見 random-event-supernova-audit-20260825.md
事件 25 時空異象	受害帝國殖民星全 owner 殖民地凍結	Determine_Event_ / sub_23BEC / sub_242FC / sub_206A2 / sub_23DFE / sub_E2710	0x2230A / 0x23BEC / 0x242FC / 0x206A2 / 0x23DFE / 0xE2710	受害帝國殖民星 reservoir sampling、同星互斥、age 0..4 不抽骰、age 5..20 Random(20)==1、age 21 強制解除；研究聚合、人口成長及玩家／AI filter callers 已證實	internal/gamedata OriginalStasisEnds；internal/shell startStasis／startAIStasis／freezeColonyForStasis／StarInStasis	玩家／非目前熱座／AI、同星多 owner、暫態回合副本、存檔與事件亂數消費已接；原始殖民資料不被破壞	1.31 主要生命週期與可表示消費端已對齊	食物／工業／建造／維護／人口移動的 raw 欄位仍依手冊＋共用重算鏈；colony+0x13F、GNN state 時序與 1.50 差異待閉合；見 random-event-stasis-audit-20260825.md
事件 26 超空間獸	逐回合指定帝國的航行艦損失	Determine_Event_ / sub_206A2 / sub_100618 / sub_23CED / sub_941C6 / sub_8A4C4	0x2230A / 0x206A2 / 0x100618 / 0x23CED / 0x941C6 / 0x8A4C4	active 回合無額外攻擊骰；指定 owner、status 1 船 reservoir sampling、刪艦／鏈首替換、sub_22D57 重抽下回合帝國、age 5 起 1/20 與 age 21 強制解除已證實	internal/shell PersistentEvent.TargetKind／TargetIndex、warpBeastFleetShip／warpBeastStrikeReport／retargetWarpBeast	玩家多艦隊、非目前熱座、AI、存檔、均勻非最弱艦選擇與解除前置已接；舊 20%／目前艦隊／最弱艦代理已移除	1.31 玩家可見主要鏈已對齊	原版 0x81-byte ship 鏈首中間狀態以 Fleet 切片安全刪除近似；1.50 差異待閉合；見 random-event-warp-beast-audit-20260825.md
事件 28 蟲洞	一般好事件使航行艦隊立即抵達	Determine_Event_ / sub_100519 / sub_FFDDA	0x2230A / 0x100519 / 0xFFDDA	非跨維度 status 1 船 reservoir sampling、同 owner／位置／目的地／群組整隊處理、dest+500 解碼、立即 status 0 與目的星／座標寫回、移動艦數與目的星新聞 record 已證實	internal/shell wormholeFleetCandidate／applyWormhole／applyAIWormhole／completePlayerFleetArrival	玩家按艦數權重選多艦隊、非目前熱座、AI、探索／水雷／發現抵達 consumer 與跨維度拒絕已接；目前艦隊 ETA=1 代理已移除	1.31 玩家可見主要鏈已對齊	逐船座標中間值以 Fleet 群組表示；AI 抵達新聞由事件 report 取代一般 AIFleetArrival；1.50 差異待閉合；見 random-event-wormhole-audit-20260825.md
